Crops,Infarm code ,DAH,Rep,Treatment,Weight loss (%),Overall Marketability,Condensation,Discoloration ,Wilting,Decay,Off odour,O2 (%),CO2 (%),Ethylene (ppm),Colour (L),Colour (a),Colour (b)
Mountain coriander,Cr26,6,3,UVC 5min,0.15,3,3,4,4,2,3,13.5,5.09,1.3,,,
Mountain coriander,Cr26,12,1,UVC 5min,0.89,3,3,3,4,4,3,13,6.97,4.92,35.43,-4.555,22.18
Mountain coriander,Cr26,12,2,UVC 5min,0.81,3,3,2,3,2,3,12.54,7.39,4.3,25.56,-17.59,21.17
Mountain coriander,Cr26,12,3,UVC 5min,0.79,2,3,2,3,2,2,12.38,7.23,2.6,37.24,-13.25,26.21
Mountain coriander,Cr26,1,1,UVC 8min,0,4,3,4,4,4,4,17.1,3.25,1.4,39.08,-3.685,21.77
Mountain coriander,Cr26,1,2,UVC 8min,0,4,3,4,4,3,4,16.9,3.5,1.4,41.65,-13.21,29.67
Mountain coriander,Cr26,1,3,UVC 8min,0,4,3,4,3,2,3,16.8,3.4,1.3,38.32,-14.52,27.85
Mountain coriander,Cr26,6,1,UVC 8min,0.16,4,3,4,4,4,4,14.5,5.81,3.2,,,
Mountain coriander,Cr26,6,2,UVC 8min,0.1,3,3,4,4,3,4,13.9,6.15,4,,,
Mountain coriander,Cr26,6,3,UVC 8min,0.11,3,3,5,4,3,3,13.7,6.53,3.3,,,
Mountain coriander,Cr26,12,1,UVC 8min,1.16,3,2,4,4,4,4,11.1,8.5,6.9,39.77,-4.085,23.58
Mountain coriander,Cr26,12,2,UVC 8min,2.13,3,3,4,4,3,4,11.3,8.32,2.7,34.49,-4.27,25.28
Mountain coriander,Cr26,12,3,UVC 8min,1.45,3,2,4,4,4,3,11.3,8.38,3,40.89,-3.05,23.81
