Crop ,Tray_position ,Replicate ,Treatment ,day ,date       ,batchid         ,tray ,planteye_id ,digital_biomass__avg ,digital_biomass__max ,digital_biomass__min ,height__avg   ,height__max ,height__min ,height_max__avg ,height_max__max ,height_max__min ,leaf_area_index__avg ,leaf_area_index__max ,leaf_area_index__min ,proj_area__avg ,proj_area__max ,proj_area__min ,ndvi_aver__avg ,ndvi_aver__max ,ndvi_aver__min ,greenness_aver__avg ,greenness_aver__max ,greenness_aver__min ,hue_aver__avg ,hue_aver__max ,hue_aver__min ,area_3d__avg   ,area_3d__max ,area_3d__min ,leaf_inclination__avg ,leaf_inclination__max ,leaf_inclination__min ,leaf_angle__avg ,leaf_angle__max ,leaf_angle__min ,light_pen_depth__avg ,light_pen_depth__max ,light_pen_depth__min ,npci_aver__avg ,npci_aver__max ,npci_aver__min ,psri_aver__avg ,psri_aver__max ,psri_aver__min
Cr31 ,B4            ,4,UV8       ,1,19/04/2022,30_HG_mix_st_16 ,8,scan2       ,2292011.75,2292011.75,2292011.75,42.971,42.971,42.971,57.042,57.042,57.042,0.228,0.228,0.228,35100.531,35100.531,35100.531,0.59479,0.59479,0.59479,0.37042,0.37042,0.37042,102.62439,102.62439,102.62439,53338.449,53338.449,53338.449,1.50617,1.50617,1.50617,41.599,41.599,41.599,26.184,26.184,26.184,0.24237,0.24237,0.24237,0.08521,0.08521,0.08521
Pr26 ,A6            ,1,UV5       ,1,19/04/2022,31_HG_mix_st_16 ,0,scan1       ,649982.562,649982.562,649982.562,23.365,23.365,23.365,32.009,32.009,32.009,0.119,0.119,0.119,17408.729,17408.729,17408.729,0.54291,0.54291,0.54291,0.34466,0.34466,0.34466,99.92844,99.92844,99.92844,27818.361,27818.361,27818.361,1.59366,1.59366,1.59366,38.863,38.863,38.863,12.592,12.592,12.592,0.24986,0.24986,0.24986,0.10452,0.10452,0.10452
Bs79 ,A7            ,1,UV5       ,1,19/04/2022,31_HG_mix_st_16 ,1,scan1       ,1282167.375,1282167.375,1282167.375,31.293,31.293,31.293,39.963,39.963,39.963,0.175,0.175,0.175,26126.75,26126.75,26126.75,0.70452,0.70452,0.70452,-0.09896,-0.09896,-0.09896,0.26091,0.26091,0.26091,40973.617,40973.617,40973.617,1.56106,1.56106,1.56106,39.834,39.834,39.834,23.431,23.431,23.431,0.15396,0.15396,0.15396,0.02807,0.02807,0.02807
Cr31 ,A8            ,3,UV5       ,1,19/04/2022,31_HG_mix_st_16 ,2,scan1       ,1345781.375,1345781.375,1345781.375,34.459,34.459,34.459,58.081,58.081,58.081,0.167,0.167,0.167,21738.102,21738.102,21738.102,0.50821,0.50821,0.50821,0.29026,0.29026,0.29026,105.34485,105.34485,105.34485,39055.035,39055.035,39055.035,1.78128,1.78128,1.78128,34.151,34.151,34.151,29.615,29.615,29.615,0.16466,0.16466,0.16466,0.07001,0.07001,0.07001
Bs79 ,A9            ,2,UV5       ,1,19/04/2022,31_HG_mix_st_16 ,3,scan1       ,1224567,1224567,1224567,27.446,27.446,27.446,35.736,35.736,35.736,0.191,0.191,0.191,28464.098,28464.098,28464.098,0.70402,0.70402,0.70402,-0.09341,-0.09341,-0.09341,0.99639,0.99639,0.99639,44617.594,44617.594,44617.594,1.56052,1.56052,1.56052,39.851,39.851,39.851,21.365,21.365,21.365,0.14301,0.14301,0.14301,0.02569,0.02569,0.02569
Bs79 ,A10           ,3,UV5       ,1,19/04/2022,31_HG_mix_st_16 ,4,scan1       ,909157.062,909157.062,909157.062,22.524,22.524,22.524,29.765,29.765,29.765,0.172,0.172,0.172,25726.695,25726.695,25726.695,0.71361,0.71361,0.71361,-0.08969,-0.08969,-0.08969,0.47219,0.47219,0.47219,40363.785,40363.785,40363.785,1.56495,1.56495,1.56495,39.716,39.716,39.716,17.873,17.873,17.873,0.14166,0.14166,0.14166,0.02883,0.02883,0.02883
Pr26 ,B6            ,3,UV5       ,1,19/04/2022,31_HG_mix_st_16 ,5,scan1       ,195127.75,195127.75,195127.75,8.689,8.689,8.689,17.781,17.781,17.781,0.096,0.096,0.096,14664.684,14664.684,14664.684,0.56486,0.56486,0.56486,0.36629,0.36629,0.36629,98.53617,98.53617,98.53617,22455.699,22455.699,22455.699,1.5305,1.5305,1.5305,40.796,40.796,40.796,7.013,7.013,7.013,0.26632,0.26632,0.26632,0.11253,0.11253,0.11253
Bs49 ,B7            ,3,UV5       ,1,19/04/2022,31_HG_mix_st_16 ,6,scan1       ,212390.125,212390.125,212390.125,9.154,9.154,9.154,16.787,16.787,16.787,0.099,0.099,0.099,14623.119,14623.119,14623.119,0.69713,0.69713,0.69713,0.43044,0.43044,0.43044,104.59045,104.59045,104.59045,23202.533,23202.533,23202.533,1.58497,1.58497,1.58497,39.117,39.117,39.117,7.714,7.714,7.714,0.24549,0.24549,0.24549,0.0639,0.0639,0.0639
Mn24 ,B8            ,4,UV5       ,1,19/04/2022,31_HG_mix_st_16 ,7,scan1       ,450031.031,450031.031,450031.031,12.299,12.299,12.299,23.271,23.271,23.271,0.156,0.156,0.156,21616.227,21616.227,21616.227,0.62599,0.62599,0.62599,0.398,0.398,0.398,101.32712,101.32712,101.32712,36590.738,36590.738,36590.738,1.69232,1.69232,1.69232,36.22,36.22,36.22,9.254,9.254,9.254,0.26393,0.26393,0.26393,0.09048,0.09048,0.09048
Bs49 ,B9            ,4,UV5       ,1,19/04/2022,31_HG_mix_st_16 ,8,scan1       ,479935,479935,479935,12.638,12.638,12.638,22.492,22.492,22.492,0.162,0.162,0.162,24259.293,24259.293,24259.293,0.69185,0.69185,0.69185,0.42715,0.42715,0.42715,104.99147,104.99147,104.99147,37975.273,37975.273,37975.273,1.56374,1.56374,1.56374,39.753,39.753,39.753,10.455,10.455,10.455,0.23989,0.23989,0.23989,0.06268,0.06268,0.06268
